"mapruleid","shortname","network","allowedservergeo","excludedserverGeo"
"1629","tw","essl","",""
"1630","e63w","essl","",""
"1701","g5s","freeflow","",""
"1702","i6g5s","freeflow","",""
"1801","g5o","freeflow","",""
"1802","i6g5o","freeflow","",""
"1803","vo","freeflow","","PRC"
"1804","i6vo","freeflow","","PRC"
"1805","zo","freeflow","","PRC"
"1806","i6zo","freeflow","","PRC"
"1807","do","freeflow","","PRC"
"1808","i6do","freeflow","","PRC"
"1819","to","freeflow","","PRC"
"1820","i6to","freeflow","","PRC"
"1853","hso","essl","","PRC"
"1854","i6hso","essl","","PRC"
"1855","dso","essl","","PRC"
"1856","i6dso","essl","","PRC"
"1861","aso","essl","","PRC"
"1862","i6aso","essl","","PRC"
"1901","g5e","freeflow","",""
"1902","i6g5e","freeflow","",""
"1903","ve","freeflow","",""
"1904","i6ve","freeflow","",""
"1905","ze","freeflow","",""
"1906","i6ze","freeflow","",""
"1907","de","freeflow","",""
"1908","i6de","freeflow","",""
"1911","g2e","freeflow","",""
"1912","i6g2e","freeflow","",""
"1953","hse","essl","",""
"1954","i6hse","essl","",""
"1955","dse","essl","",""
"1956","i6dse","essl","",""
"1959","gse","essl","",""
"1960","i6gse","essl","",""
"2501","ch001","freeflow","",""
"2502","ch002","freeflow","",""
"2503","ch003","freeflow","",""
"2504","ch004","freeflow","",""
"2505","ch005","freeflow","",""
"2506","ch006","freeflow","",""
"2507","ch007","freeflow","",""
"2508","ch008","freeflow","",""
"2510","ch010","freeflow","",""
"2511","ch011","freeflow","",""
"2512","ch012","freeflow","",""
"2513","ch013","freeflow","",""
"2514","ch014","freeflow","",""
"2516","ch016","freeflow","","RU"
"2517","ch017","freeflow","","RU"
"2518","ch018","freeflow","",""
"2520","ch020","freeflow","",""
"2521","ch021","freeflow","",""
"2522","ch022","freeflow","",""
"2523","ch023","freeflow","",""
"2524","ch024","freeflow","",""
"2525","ch025","freeflow","",""
"2526","ch026","freeflow","",""
"2527","ch027","freeflow","",""
"2528","ch028","freeflow","",""
"2529","ch029","freeflow","",""
"2530","ch030","freeflow","",""
"2531","ch031","freeflow","",""
"2532","ch032","freeflow","",""
"2533","ch033","freeflow","",""
"2534","ch034","freeflow","",""
"2535","ch035","freeflow","",""
"2536","ch036","freeflow","",""
"2537","ch037","freeflow","",""
"2538","ch038","freeflow","",""
"2539","ch039","freeflow","",""
"2540","ch040","freeflow","",""
"2541","ch041","freeflow","",""
"2542","ch042","freeflow","",""
"2543","ch043","freeflow","",""
"2544","ch044","freeflow","",""
"2545","ch045","freeflow","",""
"2546","ch046","freeflow","",""
"2547","ch047","freeflow","",""
"2548","ch048","freeflow","",""
"2549","ch049","freeflow","",""
"2550","ch050","freeflow","",""
"2551","ch051","freeflow","",""
"2552","ch052","freeflow","",""
"2553","ch053","freeflow","",""
"2554","ch054","freeflow","",""
"2555","ch055","freeflow","",""
"2556","ch056","freeflow","",""
"2557","ch057","freeflow","",""
"2558","ch058","freeflow","",""
"2559","ch059","freeflow","",""
"2560","ch060","freeflow","",""
"2561","ch061","freeflow","",""
"2562","ch062","freeflow","",""
"2563","ch063","freeflow","",""
"2564","ch064","freeflow","",""
"2565","ch065","freeflow","",""
"2566","ch066","freeflow","",""
"2567","ch067","freeflow","",""
"2568","ch068","freeflow","",""
"2569","ch069","freeflow","",""
"2570","ch070","freeflow","",""
"2571","ch071","freeflow","",""
"2572","ch072","freeflow","",""
"2573","ch073","freeflow","",""
"2574","ch074","freeflow","",""
"2575","ch075","freeflow","",""
"2576","ch076","freeflow","",""
"2577","ch077","freeflow","",""
"2578","ch078","freeflow","",""
"2580","ch080","freeflow","",""
"2581","ch081","freeflow","",""
"2582","ch082","freeflow","",""
"2583","ch083","freeflow","",""
"2584","ch084","freeflow","",""
"2585","ch085","freeflow","",""
"2586","ch086","freeflow","",""
"2587","ch087","freeflow","",""
"2588","ch088","freeflow","",""
"2589","ch089","freeflow","",""
"2590","ch090","freeflow","",""
"2591","ch091","freeflow","",""
"2592","ch092","freeflow","",""
"2593","ch093","freeflow","",""
"2594","ch094","freeflow","",""
"2595","ch095","freeflow","",""
"2596","ch096","freeflow","",""
"2597","ch097","freeflow","",""
"2598","ch098","freeflow","",""
"2599","ch099","freeflow","",""
"2600","ch100","freeflow","",""
"2601","ch101","freeflow","",""
"2602","ch102","freeflow","",""
"2603","ch103","freeflow","",""
"2604","ch104","freeflow","",""
"2605","ch105","freeflow","",""
"2606","ch106","freeflow","",""
"2607","ch107","freeflow","",""
"2608","ch108","freeflow","",""
"2609","ch109","freeflow","",""
"2610","ch110","freeflow","",""
"2611","ch111","freeflow","",""
"2612","ch112","freeflow","",""
"2613","ch113","freeflow","",""
"2614","ch114","freeflow","",""
"2615","ch115","freeflow","",""
"2616","ch116","freeflow","",""
"2617","ch117","freeflow","",""
"2618","ch118","freeflow","",""
"2619","ch119","freeflow","",""
"2620","ch120","freeflow","",""
"2621","ch121","freeflow","",""
"2622","ch122","freeflow","",""
"2623","ch123","freeflow","",""
"2624","ch124","freeflow","",""
"2625","ch125","freeflow","",""
"2626","ch126","freeflow","",""
"2627","ch127","freeflow","",""
"2628","ch128","freeflow","",""
"2629","ch129","freeflow","",""
"2630","ch130","freeflow","",""
"2631","ch131","freeflow","",""
"2632","ch132","freeflow","",""
"2633","ch133","freeflow","",""
"2634","ch134","freeflow","",""
"2635","ch135","freeflow","",""
"2636","ch136","freeflow","",""
"2637","ch137","freeflow","",""
"2638","ch138","freeflow","",""
"2639","ch139","freeflow","",""
"2640","ch140","freeflow","","RU"
"2641","ch141","freeflow","",""
"2642","ch142","freeflow","",""
"2643","ch143","freeflow","",""
"2644","ch144","freeflow","",""
"2645","ch145","freeflow","",""
"2646","ch146","freeflow","",""
"2647","ch147","freeflow","",""
"2648","ch148","freeflow","",""
"2649","ch149","freeflow","",""
"2650","ch150","freeflow","",""
"2651","ch151","freeflow","",""
"2652","ch152","freeflow","",""
"2653","ch153","freeflow","",""
"2654","ch154","freeflow","",""
"2655","ch155","freeflow","",""
"2656","ch156","freeflow","",""
"2657","ch157","freeflow","",""
"2658","ch158","freeflow","",""
"2659","ch159","freeflow","",""
"2660","ch160","freeflow","",""
"2661","ch161","freeflow","",""
"2662","ch162","freeflow","",""
"2663","ch163","freeflow","",""
"2664","ch164","freeflow","",""
"2665","ch165","freeflow","",""
"2666","ch166","freeflow","",""
"2667","ch167","freeflow","",""
"2668","ch168","freeflow","",""
"2669","ch169","freeflow","",""
"2670","ch170","freeflow","",""
"2671","ch171","freeflow","",""
"2672","ch172","freeflow","",""
"2673","ch173","freeflow","",""
"2674","ch174","freeflow","",""
"2675","ch175","freeflow","",""
"2676","ch176","freeflow","",""
"2677","ch177","freeflow","",""
"2678","ch178","freeflow","",""
"2679","ch179","freeflow","",""
"2680","ch180","freeflow","",""
"2681","ch181","freeflow","",""
"2682","ch182","freeflow","",""
"2683","ch183","freeflow","",""
"2685","ch185","freeflow","",""
"2686","ch186","freeflow","",""
"2687","ch187","freeflow","",""
"2688","ch188","freeflow","",""
"2689","ch189","freeflow","",""
"2690","ch190","freeflow","",""
"2691","ch191","freeflow","",""
"2692","ch192","freeflow","",""
"2693","ch193","freeflow","",""
"2694","ch194","freeflow","",""
"2695","ch195","freeflow","",""
"2696","ch196","freeflow","",""
"2697","ch197","freeflow","",""
"2698","ch198","freeflow","",""
"2699","ch199","freeflow","",""
"2700","ch200","freeflow","",""
"2701","ch201","freeflow","",""
"2702","ch202","freeflow","",""
"2703","ch203","freeflow","",""
"2704","ch204","freeflow","",""
"2705","ch205","freeflow","",""
"2706","ch206","freeflow","",""
"2707","ch207","freeflow","",""
"2710","ch210","freeflow","",""
"2711","ch211","freeflow","",""
"2712","ch212","freeflow","",""
"2714","ch214","freeflow","",""
"2715","ch215","freeflow","",""
"2716","ch216","freeflow","",""
"2717","ch217","freeflow","",""
"2718","ch218","freeflow","",""
"2719","ch219","freeflow","",""
"2720","ch220","freeflow","",""
"2721","ch221","freeflow","",""
"2722","ch222","freeflow","",""
"2723","ch223","freeflow","",""
"2724","ch224","freeflow","",""
"2725","ch225","freeflow","",""
"2726","ch226","freeflow","",""
"2727","ch227","freeflow","",""
"2728","ch228","freeflow","",""
"2730","ch230","freeflow","",""
"2731","ch231","freeflow","",""
"2732","ch232","freeflow","",""
"2733","ch233","freeflow","",""
"2734","ch234","freeflow","",""
"2735","ch235","freeflow","",""
"2736","ch236","freeflow","",""
"2737","ch237","freeflow","",""
"2738","ch238","freeflow","",""
"2739","ch239","freeflow","",""
"2740","ch240","freeflow","",""
"2741","ch241","freeflow","",""
"2742","ch242","freeflow","",""
"2743","ch243","freeflow","",""
"2744","ch244","freeflow","",""
"2745","ch245","freeflow","",""
"2746","ch246","freeflow","",""
"2747","ch247","freeflow","",""
"2748","ch248","freeflow","",""
"2749","ch249","freeflow","",""
"2750","ch250","freeflow","",""
"2751","ch251","freeflow","",""
"2752","ch252","freeflow","",""
"2753","ch253","freeflow","",""
"2754","ch254","freeflow","",""
"2755","ch255","freeflow","",""
"2756","ch256","freeflow","",""
"2757","ch257","freeflow","",""
"2758","ch258","freeflow","",""
"2759","ch259","freeflow","",""
"2760","ch260","freeflow","",""
"2761","ch261","freeflow","",""
"2762","ch262","freeflow","",""
"2763","ch263","freeflow","",""
"2764","ch264","freeflow","",""
"2765","ch265","freeflow","",""
"2766","ch266","freeflow","",""
"2767","ch267","freeflow","",""
"2768","ch268","freeflow","",""
"2769","ch269","freeflow","",""
"2770","ch270","freeflow","",""
"2771","ch271","freeflow","",""
"2772","ch272","freeflow","",""
"2773","ch273","freeflow","",""
"2774","ch274","freeflow","",""
"2775","ch275","freeflow","",""
"2776","ch276","freeflow","",""
"2777","ch277","freeflow","",""
"2778","ch278","freeflow","",""
"2779","ch279","freeflow","",""
"2780","ch280","freeflow","",""
"2781","ch281","freeflow","",""
"2782","ch282","freeflow","",""
"2783","ch283","freeflow","",""
"2784","ch284","freeflow","",""
"2785","ch285","freeflow","",""
"2786","ch286","freeflow","",""
"2787","ch287","freeflow","",""
"2788","ch288","freeflow","",""
"2789","ch289","freeflow","",""
"2790","ch290","freeflow","",""
"2791","ch291","freeflow","",""
"2792","ch292","freeflow","",""
"2793","ch293","freeflow","",""
"2794","ch294","freeflow","",""
"2795","ch295","freeflow","",""
"2796","ch296","freeflow","",""
"2797","ch297","freeflow","",""
"2798","ch298","freeflow","",""
"2799","ch299","freeflow","",""
"2800","ch300","freeflow","",""
"2801","ch301","freeflow","",""
"2802","ch302","freeflow","",""
"2803","ch303","freeflow","",""
"2804","ch304","freeflow","",""
"2805","ch305","freeflow","",""
"2806","ch306","freeflow","",""
"2807","ch307","freeflow","",""
"2808","ch308","freeflow","",""
"2809","ch309","freeflow","",""
"2810","ch310","freeflow","",""
"2811","ch311","freeflow","",""
"2812","ch312","freeflow","",""
"2813","ch313","freeflow","",""
"2814","ch314","freeflow","",""
"2815","ch315","freeflow","",""
"2816","ch316","freeflow","",""
"2817","ch317","freeflow","",""
"2818","ch318","freeflow","",""
"2819","ch319","freeflow","",""
"2820","ch320","freeflow","",""
"2821","ch321","freeflow","",""
"2822","ch322","freeflow","",""
"2823","ch323","freeflow","",""
"2824","ch324","freeflow","",""
